ans	pred	prob
1.0	-1.0	[ 0.61129354  0.38870646]
-1.0	-1.0	[ 0.69774513  0.30225487]
1.0	1.0	[ 0.06152181  0.93847819]
1.0	1.0	[ 0.04263502  0.95736498]
1.0	1.0	[ 0.07802156  0.92197844]
-1.0	-1.0	[ 0.97629818  0.02370182]
-1.0	-1.0	[ 0.94033175  0.05966825]
-1.0	-1.0	[ 0.56427398  0.43572602]
-1.0	-1.0	[ 0.92810074  0.07189926]
1.0	-1.0	[ 0.61684043  0.38315957]
-1.0	-1.0	[ 0.73168206  0.26831794]
-1.0	-1.0	[ 0.81943852  0.18056148]
1.0	1.0	[ 0.22942193  0.77057807]
-1.0	-1.0	[ 0.69964533  0.30035467]
-1.0	-1.0	[ 0.98554449  0.01445551]
-1.0	-1.0	[ 0.94376665  0.05623335]
1.0	1.0	[ 0.27587635  0.72412365]
1.0	-1.0	[ 0.53339252  0.46660748]
-1.0	-1.0	[ 0.51030817  0.48969183]
-1.0	-1.0	[ 0.5283404  0.4716596]
1.0	-1.0	[ 0.59946238  0.40053762]
-1.0	-1.0	[ 0.85154816  0.14845184]
-1.0	1.0	[ 0.24881676  0.75118324]
-1.0	1.0	[ 0.43688278  0.56311722]
1.0	1.0	[ 0.17212207  0.82787793]
-1.0	1.0	[ 0.38746184  0.61253816]
1.0	1.0	[ 0.28874076  0.71125924]
-1.0	-1.0	[ 0.53778211  0.46221789]
-1.0	-1.0	[ 0.69667357  0.30332643]
1.0	-1.0	[ 0.60840553  0.39159447]
-1.0	1.0	[ 0.441713  0.558287]
-1.0	-1.0	[ 0.86835434  0.13164566]
-1.0	-1.0	[ 0.99549617  0.00450383]
-1.0	-1.0	[ 0.75232861  0.24767139]
1.0	-1.0	[ 0.51599563  0.48400437]
-1.0	-1.0	[ 0.72583898  0.27416102]
1.0	1.0	[ 0.32807058  0.67192942]
1.0	1.0	[ 0.18128656  0.81871344]
1.0	-1.0	[ 0.873942  0.126058]
-1.0	-1.0	[ 0.92302742  0.07697258]
1.0	1.0	[ 0.03558862  0.96441138]
-1.0	-1.0	[ 0.79240235  0.20759765]
1.0	1.0	[ 0.0059925  0.9940075]
1.0	1.0	[ 0.15995391  0.84004609]
1.0	1.0	[ 0.27693429  0.72306571]
-1.0	-1.0	[ 0.53778211  0.46221789]
-1.0	-1.0	[ 0.53778211  0.46221789]
-1.0	-1.0	[ 0.89560606  0.10439394]
-1.0	-1.0	[ 0.70677904  0.29322096]
1.0	1.0	[ 0.06177412  0.93822588]
1.0	1.0	[ 0.23462904  0.76537096]
1.0	1.0	[ 0.15339765  0.84660235]
1.0	1.0	[ 0.22168046  0.77831954]
-1.0	1.0	[ 0.45979846  0.54020154]
-1.0	-1.0	[ 0.62891461  0.37108539]
1.0	-1.0	[ 0.80711562  0.19288438]
-1.0	-1.0	[ 0.9885473  0.0114527]
1.0	-1.0	[ 0.88729601  0.11270399]
-1.0	-1.0	[ 0.69851067  0.30148933]
1.0	1.0	[ 0.22781629  0.77218371]
-1.0	-1.0	[ 0.93698725  0.06301275]
-1.0	-1.0	[ 0.77967084  0.22032916]
1.0	-1.0	[ 0.66425045  0.33574955]
1.0	1.0	[ 0.4435592  0.5564408]
-1.0	1.0	[ 0.49606243  0.50393757]
-1.0	-1.0	[ 0.56664372  0.43335628]
-1.0	1.0	[ 0.33541798  0.66458202]
-1.0	-1.0	[ 0.78333205  0.21666795]
1.0	1.0	[ 0.00950618  0.99049382]
-1.0	1.0	[ 0.45472901  0.54527099]
1.0	1.0	[ 0.31429628  0.68570372]
-1.0	-1.0	[ 0.71533138  0.28466862]
-1.0	-1.0	[ 0.82673776  0.17326224]
-1.0	-1.0	[ 0.88418487  0.11581513]
1.0	1.0	[ 0.22492967  0.77507033]
1.0	-1.0	[ 0.85936364  0.14063636]
-1.0	-1.0	[ 0.64192648  0.35807352]
1.0	1.0	[ 0.43267554  0.56732446]
-1.0	-1.0	[ 0.5718429  0.4281571]
1.0	1.0	[ 0.30232581  0.69767419]
-1.0	-1.0	[ 0.77654457  0.22345543]
-1.0	-1.0	[ 0.7181639  0.2818361]
1.0	1.0	[ 0.06329305  0.93670695]
-1.0	1.0	[ 0.37400109  0.62599891]
-1.0	-1.0	[ 0.51536085  0.48463915]
1.0	1.0	[ 0.08554371  0.91445629]
1.0	1.0	[ 0.48902974  0.51097026]
-1.0	-1.0	[ 0.91128542  0.08871458]
-1.0	1.0	[ 0.24579185  0.75420815]
-1.0	-1.0	[ 0.79355577  0.20644423]
-1.0	-1.0	[ 0.80316406  0.19683594]
1.0	1.0	[ 0.4478407  0.5521593]
1.0	1.0	[ 0.01383262  0.98616738]
-1.0	1.0	[ 0.38975423  0.61024577]
-1.0	-1.0	[ 0.9121131  0.0878869]
-1.0	-1.0	[ 0.84970403  0.15029597]
1.0	1.0	[ 0.48011398  0.51988602]
-1.0	-1.0	[ 0.58142313  0.41857687]
1.0	-1.0	[ 0.5942874  0.4057126]
-1.0	-1.0	[ 0.53750479  0.46249521]
-1.0	-1.0	[ 0.86263404  0.13736596]
-1.0	-1.0	[ 0.85719854  0.14280146]
1.0	-1.0	[ 0.58082052  0.41917948]
-1.0	-1.0	[ 0.95764  0.04236]
-1.0	-1.0	[ 0.6135321  0.3864679]
1.0	1.0	[ 0.32708712  0.67291288]
1.0	1.0	[ 0.30697701  0.69302299]
1.0	1.0	[ 0.49300527  0.50699473]
1.0	-1.0	[ 0.50317876  0.49682124]
1.0	1.0	[ 0.02907483  0.97092517]
1.0	-1.0	[ 0.86494685  0.13505315]
1.0	1.0	[ 0.49930258  0.50069742]
-1.0	-1.0	[ 0.77726942  0.22273058]
-1.0	-1.0	[ 0.77417582  0.22582418]
1.0	-1.0	[ 0.65957596  0.34042404]
-1.0	-1.0	[ 0.53778211  0.46221789]
1.0	1.0	[ 0.4076878  0.5923122]
-1.0	1.0	[ 0.27611382  0.72388618]
-1.0	-1.0	[ 0.83170519  0.16829481]
1.0	1.0	[ 0.10484333  0.89515667]
-1.0	-1.0	[ 0.6931223  0.3068777]
1.0	1.0	[ 0.48769854  0.51230146]
-1.0	-1.0	[ 0.79601521  0.20398479]
1.0	-1.0	[ 0.56378879  0.43621121]
1.0	1.0	[ 0.21147875  0.78852125]
1.0	1.0	[ 0.31841073  0.68158927]
1.0	1.0	[ 0.14280828  0.85719172]
-1.0	-1.0	[ 0.90188016  0.09811984]
-1.0	-1.0	[ 0.85161817  0.14838183]
1.0	1.0	[ 0.20821649  0.79178351]
1.0	1.0	[ 0.30192208  0.69807792]
1.0	1.0	[ 0.15140735  0.84859265]
1.0	1.0	[ 0.16757806  0.83242194]
-1.0	-1.0	[ 0.59316223  0.40683777]
1.0	-1.0	[ 0.58130966  0.41869034]
1.0	1.0	[ 0.43432133  0.56567867]
1.0	1.0	[ 0.27117661  0.72882339]
-1.0	-1.0	[ 0.85275444  0.14724556]
1.0	1.0	[ 0.20953871  0.79046129]
-1.0	-1.0	[ 0.78412315  0.21587685]
-1.0	-1.0	[ 0.55263077  0.44736923]
1.0	-1.0	[ 0.53778211  0.46221789]
1.0	1.0	[ 0.26954162  0.73045838]
1.0	1.0	[ 0.14562724  0.85437276]
1.0	1.0	[ 0.20299034  0.79700966]
1.0	-1.0	[ 0.60108015  0.39891985]
-1.0	-1.0	[ 0.94398746  0.05601254]
1.0	1.0	[ 0.11335039  0.88664961]
-1.0	-1.0	[ 0.78868406  0.21131594]
-1.0	-1.0	[ 0.80950707  0.19049293]
1.0	1.0	[ 0.31696998  0.68303002]
1.0	1.0	[ 0.39987012  0.60012988]
1.0	1.0	[ 0.44494466  0.55505534]
-1.0	-1.0	[ 0.76678981  0.23321019]
-1.0	-1.0	[ 0.73281542  0.26718458]
1.0	1.0	[ 0.12647043  0.87352957]
1.0	1.0	[ 0.17012209  0.82987791]
1.0	-1.0	[ 0.77200333  0.22799667]
1.0	-1.0	[ 0.87814025  0.12185975]
1.0	1.0	[ 0.25831291  0.74168709]
-1.0	1.0	[ 0.47974647  0.52025353]
-1.0	1.0	[ 0.16809802  0.83190198]
1.0	1.0	[ 0.04591003  0.95408997]
-1.0	-1.0	[ 0.60342327  0.39657673]
-1.0	-1.0	[ 0.512448  0.487552]
-1.0	-1.0	[ 0.9102082  0.0897918]
1.0	1.0	[ 0.28633947  0.71366053]
1.0	1.0	[ 0.25508799  0.74491201]
1.0	1.0	[ 0.44589784  0.55410216]
-1.0	-1.0	[ 0.83217986  0.16782014]
1.0	1.0	[ 0.2444281  0.7555719]
-1.0	1.0	[ 0.4921074  0.5078926]
1.0	1.0	[ 0.17521345  0.82478655]
-1.0	1.0	[ 0.47726286  0.52273714]
1.0	1.0	[ 0.09212717  0.90787283]
1.0	1.0	[ 0.21020063  0.78979937]
-1.0	-1.0	[ 0.99797531  0.00202469]
1.0	1.0	[ 0.17134093  0.82865907]
1.0	1.0	[ 0.43495971  0.56504029]
1.0	1.0	[ 0.01132606  0.98867394]
-1.0	-1.0	[ 0.80611117  0.19388883]
1.0	1.0	[ 0.17153859  0.82846141]
-1.0	-1.0	[ 0.95007907  0.04992093]
1.0	1.0	[ 0.28738194  0.71261806]
1.0	1.0	[ 0.22730544  0.77269456]
1.0	1.0	[ 0.05094539  0.94905461]
-1.0	-1.0	[ 0.55287842  0.44712158]
1.0	1.0	[ 0.13761559  0.86238441]
1.0	1.0	[ 0.12876553  0.87123447]
1.0	1.0	[ 0.47547155  0.52452845]
-1.0	-1.0	[ 0.79512384  0.20487616]
1.0	1.0	[ 0.10362437  0.89637563]
1.0	1.0	[ 0.22191693  0.77808307]
-1.0	-1.0	[ 0.88931691  0.11068309]
1.0	1.0	[ 0.14460367  0.85539633]
1.0	-1.0	[ 0.65593481  0.34406519]
-1.0	-1.0	[ 0.89633795  0.10366205]
-1.0	1.0	[ 0.24677556  0.75322444]
-1.0	-1.0	[ 0.94923588  0.05076412]
-1.0	-1.0	[ 0.99450996  0.00549004]
-1.0	-1.0	[ 0.65838781  0.34161219]
1.0	1.0	[ 0.09327142  0.90672858]
-1.0	1.0	[ 0.23750995  0.76249005]
1.0	-1.0	[ 0.53778211  0.46221789]
-1.0	-1.0	[ 0.94702359  0.05297641]
1.0	1.0	[ 0.0700866  0.9299134]
-1.0	-1.0	[ 0.5660591  0.4339409]
-1.0	1.0	[ 0.32720597  0.67279403]
1.0	1.0	[ 0.08704087  0.91295913]
-1.0	-1.0	[ 0.70702743  0.29297257]
1.0	1.0	[ 0.33092162  0.66907838]
1.0	-1.0	[ 0.89447963  0.10552037]
-1.0	-1.0	[ 0.95326797  0.04673203]
1.0	1.0	[ 0.05750976  0.94249024]
-1.0	1.0	[ 0.150593  0.849407]
-1.0	-1.0	[ 0.82341549  0.17658451]
1.0	-1.0	[ 0.60554581  0.39445419]
1.0	1.0	[ 0.15467568  0.84532432]
-1.0	-1.0	[ 0.77654802  0.22345198]
-1.0	-1.0	[ 0.84897769  0.15102231]
1.0	1.0	[ 0.21180383  0.78819617]
1.0	1.0	[ 0.23822953  0.76177047]
-1.0	1.0	[ 0.46299501  0.53700499]
1.0	1.0	[ 0.11560572  0.88439428]
1.0	-1.0	[ 0.73245216  0.26754784]
1.0	1.0	[ 0.11749062  0.88250938]
-1.0	-1.0	[ 0.91740539  0.08259461]
1.0	-1.0	[ 0.62692616  0.37307384]
1.0	1.0	[ 0.35600378  0.64399622]
1.0	1.0	[ 0.2498205  0.7501795]
1.0	-1.0	[ 0.72069958  0.27930042]
-1.0	-1.0	[ 0.84222513  0.15777487]
-1.0	1.0	[ 0.49230614  0.50769386]
-1.0	-1.0	[ 0.81938219  0.18061781]
1.0	1.0	[ 0.26426649  0.73573351]
1.0	1.0	[ 0.28048946  0.71951054]
-1.0	-1.0	[ 0.97183099  0.02816901]
-1.0	-1.0	[ 0.83815666  0.16184334]
-1.0	-1.0	[ 0.50195947  0.49804053]
1.0	1.0	[ 0.29812393  0.70187607]
-1.0	1.0	[ 0.41731039  0.58268961]
-1.0	-1.0	[ 0.93688051  0.06311949]
-1.0	-1.0	[ 0.77486503  0.22513497]
-1.0	-1.0	[ 0.82737488  0.17262512]
1.0	-1.0	[ 0.53778211  0.46221789]
-1.0	-1.0	[ 0.91384196  0.08615804]
-1.0	-1.0	[ 0.78070132  0.21929868]
-1.0	-1.0	[ 0.98952983  0.01047017]
-1.0	-1.0	[ 0.88771765  0.11228235]
-1.0	-1.0	[ 0.92535508  0.07464492]
-1.0	-1.0	[ 0.84947889  0.15052111]
1.0	-1.0	[ 0.56698949  0.43301051]
1.0	1.0	[ 0.25540957  0.74459043]
1.0	1.0	[ 0.00962212  0.99037788]
1.0	1.0	[ 0.07808253  0.92191747]
1.0	1.0	[ 0.2927774  0.7072226]
1.0	-1.0	[ 0.55876404  0.44123596]
1.0	1.0	[ 0.49535702  0.50464298]
1.0	1.0	[ 0.01756052  0.98243948]
1.0	1.0	[ 0.13954822  0.86045178]
-1.0	-1.0	[ 0.94645584  0.05354416]
1.0	1.0	[ 0.35011791  0.64988209]
1.0	1.0	[ 0.42664765  0.57335235]
-1.0	-1.0	[ 0.69691611  0.30308389]
1.0	1.0	[ 0.2522982  0.7477018]
-1.0	-1.0	[ 0.90777758  0.09222242]
-1.0	-1.0	[ 0.9494555  0.0505445]
-1.0	-1.0	[ 0.50819301  0.49180699]
1.0	1.0	[ 0.12802258  0.87197742]
-1.0	-1.0	[ 0.83368004  0.16631996]
1.0	-1.0	[ 0.92140105  0.07859895]
-1.0	-1.0	[ 0.67161315  0.32838685]
1.0	1.0	[ 0.06511962  0.93488038]
-1.0	-1.0	[ 0.88144705  0.11855295]
-1.0	1.0	[ 0.28191204  0.71808796]
1.0	1.0	[ 0.27943721  0.72056279]
1.0	1.0	[ 0.0583215  0.9416785]
-1.0	1.0	[ 0.4158435  0.5841565]
-1.0	-1.0	[ 0.56312832  0.43687168]
-1.0	-1.0	[ 0.90796764  0.09203236]
-1.0	1.0	[ 0.40142085  0.59857915]
1.0	1.0	[ 0.2214954  0.7785046]
-1.0	-1.0	[ 0.86889486  0.13110514]
1.0	1.0	[ 0.22826682  0.77173318]
1.0	1.0	[ 0.00107605  0.99892395]
1.0	1.0	[ 0.4172407  0.5827593]
1.0	1.0	[ 0.02466842  0.97533158]
1.0	1.0	[ 0.03806299  0.96193701]
1.0	1.0	[ 0.14109372  0.85890628]
1.0	1.0	[ 0.23713891  0.76286109]
-1.0	-1.0	[ 0.86608389  0.13391611]
-1.0	-1.0	[ 0.6367496  0.3632504]
1.0	-1.0	[ 0.79742186  0.20257814]
-1.0	-1.0	[ 0.92260592  0.07739408]
-1.0	-1.0	[ 0.71791864  0.28208136]
-1.0	1.0	[ 0.34915431  0.65084569]
1.0	1.0	[ 0.31396704  0.68603296]
1.0	1.0	[ 0.36863573  0.63136427]
-1.0	-1.0	[ 0.7246072  0.2753928]
1.0	1.0	[ 0.25032717  0.74967283]
1.0	1.0	[ 0.24275256  0.75724744]
1.0	-1.0	[ 0.64995124  0.35004876]
-1.0	1.0	[ 0.34683638  0.65316362]
1.0	1.0	[ 0.30399712  0.69600288]
1.0	1.0	[ 0.32956362  0.67043638]
-1.0	-1.0	[ 0.85049989  0.14950011]
1.0	1.0	[ 0.40331878  0.59668122]
-1.0	-1.0	[ 0.86937969  0.13062031]
1.0	1.0	[ 0.0106351  0.9893649]
1.0	1.0	[ 0.30919345  0.69080655]
-1.0	1.0	[ 0.32000701  0.67999299]
1.0	-1.0	[ 0.5912596  0.4087404]
-1.0	-1.0	[ 0.96646877  0.03353123]
1.0	1.0	[ 0.15175002  0.84824998]
1.0	1.0	[ 0.0162462  0.9837538]
1.0	-1.0	[ 0.62374979  0.37625021]
1.0	1.0	[ 0.10401258  0.89598742]
-1.0	-1.0	[ 0.52698681  0.47301319]
1.0	1.0	[ 0.26992302  0.73007698]
1.0	1.0	[ 0.17992334  0.82007666]
1.0	1.0	[ 0.14016654  0.85983346]
-1.0	1.0	[ 0.26817849  0.73182151]
1.0	1.0	[ 0.46725195  0.53274805]
-1.0	-1.0	[ 0.68310817  0.31689183]
1.0	1.0	[ 0.2322898  0.7677102]
1.0	1.0	[ 0.01217673  0.98782327]
1.0	1.0	[ 0.07512125  0.92487875]
1.0	1.0	[ 0.29345848  0.70654152]
1.0	1.0	[ 0.27298719  0.72701281]
1.0	1.0	[ 0.26663028  0.73336972]
1.0	1.0	[ 0.49017951  0.50982049]
1.0	1.0	[ 0.22543173  0.77456827]
1.0	-1.0	[ 0.60012895  0.39987105]
-1.0	-1.0	[ 0.56338199  0.43661801]
-1.0	-1.0	[ 0.81632611  0.18367389]
-1.0	-1.0	[ 0.94732902  0.05267098]
-1.0	-1.0	[ 0.50559748  0.49440252]
1.0	1.0	[ 0.33362145  0.66637855]
-1.0	-1.0	[ 0.64793161  0.35206839]
1.0	1.0	[ 0.34445977  0.65554023]
1.0	1.0	[ 0.11968165  0.88031835]
-1.0	-1.0	[ 0.79436213  0.20563787]
-1.0	-1.0	[ 0.81328655  0.18671345]
1.0	1.0	[ 0.46780956  0.53219044]
-1.0	1.0	[ 0.14915872  0.85084128]
1.0	1.0	[ 0.08864064  0.91135936]
-1.0	1.0	[ 0.3427693  0.6572307]
-1.0	-1.0	[ 0.53778211  0.46221789]
1.0	1.0	[ 0.39282399  0.60717601]
1.0	1.0	[ 0.32599621  0.67400379]
1.0	1.0	[ 0.24604378  0.75395622]
-1.0	-1.0	[ 0.75966042  0.24033958]
1.0	-1.0	[ 0.52219834  0.47780166]
-1.0	1.0	[ 0.35740827  0.64259173]
-1.0	-1.0	[ 0.94969858  0.05030142]
1.0	-1.0	[ 0.75067387  0.24932613]
-1.0	-1.0	[ 0.83365408  0.16634592]
-1.0	-1.0	[ 0.66709036  0.33290964]
-1.0	-1.0	[ 0.78543454  0.21456546]
1.0	1.0	[ 0.45819866  0.54180134]
1.0	1.0	[ 0.32488838  0.67511162]
-1.0	-1.0	[ 0.68097869  0.31902131]
-1.0	-1.0	[ 0.76345355  0.23654645]
-1.0	-1.0	[ 0.72313571  0.27686429]
-1.0	-1.0	[ 0.82714636  0.17285364]
-1.0	1.0	[ 0.15355416  0.84644584]
1.0	1.0	[ 0.17804465  0.82195535]
-1.0	-1.0	[ 0.89329216  0.10670784]
-1.0	-1.0	[ 0.93324728  0.06675272]
-1.0	-1.0	[ 0.82269989  0.17730011]
1.0	-1.0	[ 0.9365527  0.0634473]
-1.0	-1.0	[ 0.89669066  0.10330934]
1.0	1.0	[ 0.08468183  0.91531817]
1.0	1.0	[ 0.23887259  0.76112741]
-1.0	-1.0	[ 0.92303688  0.07696312]
1.0	1.0	[ 0.11884506  0.88115494]
-1.0	-1.0	[ 0.56422182  0.43577818]
-1.0	1.0	[ 0.36456681  0.63543319]
-1.0	-1.0	[ 0.84303216  0.15696784]
1.0	1.0	[ 0.05908991  0.94091009]
1.0	-1.0	[ 0.85718042  0.14281958]
1.0	1.0	[ 0.23477589  0.76522411]
1.0	1.0	[ 0.49772306  0.50227694]
1.0	1.0	[ 0.04532348  0.95467652]
1.0	1.0	[ 0.20222693  0.79777307]
-1.0	-1.0	[ 0.67802214  0.32197786]
-1.0	-1.0	[ 0.68156013  0.31843987]
1.0	1.0	[ 0.21680681  0.78319319]
1.0	-1.0	[ 0.64748384  0.35251616]
1.0	1.0	[ 0.1246458  0.8753542]
-1.0	-1.0	[ 0.91295221  0.08704779]
1.0	1.0	[ 0.41472719  0.58527281]
1.0	1.0	[ 0.29767764  0.70232236]
1.0	1.0	[ 0.19242562  0.80757438]
1.0	-1.0	[ 0.6754895  0.3245105]
-1.0	-1.0	[ 0.67635654  0.32364346]
-1.0	-1.0	[ 0.98031161  0.01968839]
1.0	1.0	[ 0.08199636  0.91800364]
-1.0	-1.0	[ 0.83968598  0.16031402]
-1.0	1.0	[ 0.41005577  0.58994423]
1.0	1.0	[ 0.08931088  0.91068912]
-1.0	-1.0	[ 0.8887799  0.1112201]
1.0	1.0	[ 0.20793384  0.79206616]
-1.0	-1.0	[ 0.61710158  0.38289842]
1.0	1.0	[ 0.21345537  0.78654463]
-1.0	-1.0	[ 0.86133609  0.13866391]
-1.0	-1.0	[ 0.83378286  0.16621714]
-1.0	-1.0	[ 0.86945282  0.13054718]
1.0	1.0	[ 0.0668552  0.9331448]
-1.0	-1.0	[ 0.77967106  0.22032894]
1.0	-1.0	[ 0.91543153  0.08456847]
-1.0	-1.0	[ 0.76228014  0.23771986]
1.0	1.0	[ 0.45459424  0.54540576]
-1.0	-1.0	[ 0.91042645  0.08957355]
-1.0	1.0	[ 0.23100243  0.76899757]
-1.0	-1.0	[ 0.85609327  0.14390673]
-1.0	-1.0	[ 0.53778211  0.46221789]
-1.0	-1.0	[ 0.68774319  0.31225681]
1.0	1.0	[ 0.30216065  0.69783935]
-1.0	-1.0	[ 0.69680838  0.30319162]
-1.0	1.0	[ 0.18822075  0.81177925]
1.0	1.0	[ 0.48778928  0.51221072]
-1.0	-1.0	[ 0.59367764  0.40632236]
1.0	1.0	[ 0.46355109  0.53644891]
-1.0	1.0	[ 0.43287312  0.56712688]
-1.0	-1.0	[ 0.66133714  0.33866286]
-1.0	-1.0	[ 0.71138432  0.28861568]
1.0	1.0	[ 0.10486241  0.89513759]
-1.0	-1.0	[ 0.61900493  0.38099507]
1.0	1.0	[ 0.3585294  0.6414706]
-1.0	1.0	[ 0.36440947  0.63559053]
-1.0	1.0	[ 0.3908689  0.6091311]
-1.0	-1.0	[ 0.89915942  0.10084058]
1.0	1.0	[ 0.15902388  0.84097612]
-1.0	-1.0	[ 0.69231084  0.30768916]
1.0	1.0	[ 0.1994186  0.8005814]
1.0	1.0	[ 0.0971616  0.9028384]
-1.0	-1.0	[ 0.76531188  0.23468812]
-1.0	1.0	[ 0.21041371  0.78958629]
-1.0	-1.0	[ 0.54139908  0.45860092]
1.0	1.0	[ 0.08158071  0.91841929]
-1.0	1.0	[ 0.4686526  0.5313474]
1.0	1.0	[ 0.09908387  0.90091613]
-1.0	1.0	[ 0.47419528  0.52580472]
1.0	1.0	[ 0.41400145  0.58599855]
1.0	1.0	[ 0.38189005  0.61810995]
-1.0	1.0	[ 0.15265343  0.84734657]
1.0	1.0	[ 0.35297288  0.64702712]
1.0	1.0	[ 0.29617538  0.70382462]
1.0	1.0	[ 0.00983372  0.99016628]
-1.0	-1.0	[ 0.90047463  0.09952537]
-1.0	-1.0	[ 0.82171834  0.17828166]
-1.0	1.0	[ 0.41236624  0.58763376]
-1.0	-1.0	[ 0.89042375  0.10957625]
1.0	1.0	[ 0.15031367  0.84968633]
1.0	1.0	[ 0.06863832  0.93136168]
1.0	1.0	[ 0.26484067  0.73515933]
1.0	1.0	[ 0.09816394  0.90183606]
-1.0	-1.0	[ 0.89565741  0.10434259]
-1.0	-1.0	[ 0.89854841  0.10145159]
-1.0	-1.0	[ 0.55185077  0.44814923]
1.0	1.0	[ 0.47952246  0.52047754]
1.0	1.0	[ 0.13287672  0.86712328]
1.0	1.0	[ 0.48215861  0.51784139]
-1.0	-1.0	[ 0.62922519  0.37077481]
-1.0	-1.0	[ 0.82843984  0.17156016]
1.0	1.0	[ 0.4085963  0.5914037]
1.0	1.0	[ 0.16164456  0.83835544]
1.0	1.0	[ 0.04585274  0.95414726]
1.0	1.0	[ 0.07140114  0.92859886]
1.0	1.0	[ 0.16655338  0.83344662]
1.0	-1.0	[ 0.57195612  0.42804388]
1.0	1.0	[ 0.01166177  0.98833823]
1.0	1.0	[ 0.37000192  0.62999808]
-1.0	-1.0	[ 0.98087116  0.01912884]
-1.0	-1.0	[ 0.94190209  0.05809791]
-1.0	-1.0	[ 0.64660999  0.35339001]
-1.0	-1.0	[ 0.58530874  0.41469126]
-1.0	-1.0	[ 0.6630051  0.3369949]
-1.0	-1.0	[ 0.85164041  0.14835959]
-1.0	-1.0	[ 0.8192672  0.1807328]
-1.0	-1.0	[ 0.86010375  0.13989625]
1.0	1.0	[ 0.37057408  0.62942592]
-1.0	-1.0	[ 0.64603212  0.35396788]
1.0	1.0	[ 0.34826886  0.65173114]
-1.0	-1.0	[ 0.69673129  0.30326871]
-1.0	1.0	[ 0.49755537  0.50244463]
1.0	-1.0	[ 0.6894538  0.3105462]
-1.0	1.0	[ 0.30218014  0.69781986]
-1.0	-1.0	[ 0.93690446  0.06309554]
-1.0	-1.0	[ 0.67822019  0.32177981]
-1.0	-1.0	[ 0.93733397  0.06266603]
1.0	1.0	[ 0.24647449  0.75352551]
-1.0	1.0	[ 0.18292151  0.81707849]
1.0	-1.0	[ 0.55562981  0.44437019]
-1.0	-1.0	[ 0.99092168  0.00907832]
1.0	1.0	[ 0.06118985  0.93881015]
-1.0	-1.0	[ 0.83669824  0.16330176]
1.0	1.0	[ 0.23146304  0.76853696]
1.0	-1.0	[ 0.53196332  0.46803668]
-1.0	-1.0	[ 0.50743977  0.49256023]
1.0	1.0	[ 0.03085446  0.96914554]
-1.0	-1.0	[ 0.70787476  0.29212524]
1.0	1.0	[ 0.32952881  0.67047119]
-1.0	-1.0	[ 0.8815319  0.1184681]
-1.0	-1.0	[ 0.64621502  0.35378498]
1.0	1.0	[ 0.48866724  0.51133276]
-1.0	-1.0	[ 0.51226091  0.48773909]
-1.0	-1.0	[ 0.94691754  0.05308246]
-1.0	-1.0	[ 0.50853585  0.49146415]
-1.0	-1.0	[ 0.65960192  0.34039808]
-1.0	1.0	[ 0.13382463  0.86617537]
-1.0	-1.0	[ 0.85240607  0.14759393]
-1.0	-1.0	[ 0.90288551  0.09711449]
1.0	1.0	[ 0.36650608  0.63349392]
1.0	1.0	[ 0.02456164  0.97543836]
-1.0	-1.0	[ 0.55705049  0.44294951]
-1.0	-1.0	[ 0.54500128  0.45499872]
-1.0	-1.0	[ 0.93694366  0.06305634]
-1.0	1.0	[ 0.04333072  0.95666928]
1.0	-1.0	[ 0.84738121  0.15261879]
1.0	1.0	[ 0.32920349  0.67079651]
-1.0	-1.0	[ 0.5130195  0.4869805]
1.0	1.0	[ 0.25623136  0.74376864]
1.0	-1.0	[ 0.55705049  0.44294951]
-1.0	-1.0	[ 0.66925222  0.33074778]
-1.0	-1.0	[ 0.89492497  0.10507503]
-1.0	-1.0	[ 0.87857416  0.12142584]
1.0	1.0	[ 0.4947007  0.5052993]
-1.0	-1.0	[ 0.64961978  0.35038022]
1.0	1.0	[ 0.03578318  0.96421682]
1.0	1.0	[ 0.17942746  0.82057254]
-1.0	1.0	[ 0.35134158  0.64865842]
-1.0	-1.0	[ 0.85016189  0.14983811]
-1.0	-1.0	[ 0.95206651  0.04793349]
-1.0	-1.0	[ 0.85306529  0.14693471]
1.0	1.0	[ 0.39637323  0.60362677]
1.0	1.0	[ 0.27926834  0.72073166]
-1.0	1.0	[ 0.38534963  0.61465037]
-1.0	-1.0	[ 0.82309423  0.17690577]
-1.0	1.0	[ 0.39721927  0.60278073]
-1.0	-1.0	[ 0.87870026  0.12129974]
-1.0	1.0	[ 0.32908755  0.67091245]
1.0	1.0	[ 0.02301937  0.97698063]
-1.0	-1.0	[ 0.6233788  0.3766212]
-1.0	1.0	[ 0.43794373  0.56205627]
1.0	1.0	[ 0.1693577  0.8306423]
1.0	1.0	[ 0.11386849  0.88613151]
1.0	1.0	[ 0.34157607  0.65842393]
-1.0	-1.0	[ 0.98904259  0.01095741]
1.0	1.0	[ 0.43719216  0.56280784]
-1.0	-1.0	[ 0.97254426  0.02745574]
1.0	1.0	[ 0.17775184  0.82224816]
1.0	1.0	[ 0.08469613  0.91530387]
-1.0	-1.0	[ 0.82898272  0.17101728]
1.0	-1.0	[ 0.53778211  0.46221789]
-1.0	-1.0	[ 0.87252754  0.12747246]
1.0	-1.0	[ 0.53778211  0.46221789]
-1.0	-1.0	[ 0.5919377  0.4080623]
